Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0108052,2012-03-15,2012-03-15,,Schindler's List,http://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",973587,1993-11-30,Steven Spielberg
2,tt1270262,2012-03-15,2012-03-15,,The Devil's Double,http://www.imdb.com/title/tt1270262/,movie,7.1,109,2011,"Biography, Drama, Thriller",56430,2011-01-22,Lee Tamahori
3,tt0080678,2012-03-15,2012-03-15,,The Elephant Man,http://www.imdb.com/title/tt0080678/,movie,8.2,124,1980,"Biography, Drama",181129,1980-10-02,David Lynch
4,tt1718199,2012-03-15,2012-03-15,,Wu xia,http://www.imdb.com/title/tt1718199/,movie,7.1,115,2011,"Action, Crime, Drama, Thriller",12124,2011-05-13,Peter Ho-Sun Chan
5,tt0454921,2012-03-15,2012-03-15,,The Pursuit of Happyness,http://www.imdb.com/title/tt0454921/,movie,8.0,117,2006,"Biography, Drama",375243,2006-12-15,Gabriele Muccino
6,tt0986233,2012-03-15,2012-03-15,,Hunger,http://www.imdb.com/title/tt0986233/,movie,7.6,96,2008,"Biography, Drama",56983,2008-05-15,Steve McQueen
7,tt1313104,2012-03-15,2012-03-15,,The Cove,http://www.imdb.com/title/tt1313104/,movie,8.5,92,2009,"Documentary, Crime",43101,2009-04-25,Louie Psihoyos
8,tt1190536,2012-03-15,2012-03-15,,Black Dynamite,http://www.imdb.com/title/tt1190536/,movie,7.4,84,2009,"Action, Comedy",38967,2009-01-18,Scott Sanders
9,tt0814314,2012-03-15,2012-03-15,,Seven Pounds,http://www.imdb.com/title/tt0814314/,movie,7.7,123,2008,"Drama, Romance",252939,2008-12-19,Gabriele Muccino
10,tt0083987,2012-03-15,2012-03-15,,Gandhi,http://www.imdb.com/title/tt0083987/,movie,8.1,191,1982,"Biography, Drama, History",189995,1982-11-30,Richard Attenborough
11,tt0451094,2012-03-15,2012-03-15,,Chinjeolhan geumjassi,http://www.imdb.com/title/tt0451094/,movie,7.6,115,2005,"Crime, Drama, Thriller",59565,2005-07-29,Chan-wook Park
12,tt1216496,2012-03-15,2012-03-15,,Madeo,http://www.imdb.com/title/tt1216496/,movie,7.8,129,2009,"Action, Crime, Drama, Mystery, Thriller",32593,2009-05-16,Joon-ho Bong
13,tt0327056,2012-03-28,2012-03-28,,Mystic River,http://www.imdb.com/title/tt0327056/,movie,8.0,138,2003,"Crime, Drama, Mystery, Thriller",365563,2003-05-23,Clint Eastwood
14,tt0083869,2012-09-22,2012-09-22,,Eating Raoul,http://www.imdb.com/title/tt0083869/,movie,6.8,90,1982,"Comedy, Crime",5659,1982-03-24,Paul Bartel
15,tt0040746,2012-09-23,2012-09-23,,Rope,http://www.imdb.com/title/tt0040746/,movie,8.0,80,1948,"Crime, Drama, Mystery, Thriller",105860,1948-08-26,Alfred Hitchcock
16,tt0367110,2013-01-26,2013-01-26,,"Swades: We, the People",http://www.imdb.com/title/tt0367110/,movie,8.3,210,2004,Drama,67281,2004-12-17,Ashutosh Gowariker
17,tt1230165,2013-01-26,2013-01-26,,Rock On!!,http://www.imdb.com/title/tt1230165/,movie,7.8,145,2008,"Drama, Music",17493,2008-08-29,Abhishek Kapoor
18,tt0061065,2015-06-14,2015-06-14,,Tanin no kao,http://www.imdb.com/title/tt0061065/,movie,8.0,122,1966,"Drama, Sci-Fi",5218,1966-07-15,Hiroshi Teshigahara
19,tt0056058,2015-06-14,2015-06-14,,Seppuku,http://www.imdb.com/title/tt0056058/,movie,8.7,133,1962,"Action, Drama, History",21710,1962-09-16,Masaki Kobayashi
20,tt0054407,2015-06-14,2015-06-14,,Le trou,http://www.imdb.com/title/tt0054407/,movie,8.5,132,1960,"Crime, Drama, Thriller",11045,1960-03-18,Jacques Becker
21,tt0070904,2015-06-14,2015-06-14,,Welt am Draht,http://www.imdb.com/title/tt0070904/,tvMiniSeries,7.9,212,1973,"Crime, Mystery, Sci-Fi",4086,1973-10-14,
22,tt0093191,2015-06-14,2015-06-14,,Der Himmel über Berlin,http://www.imdb.com/title/tt0093191/,movie,8.1,128,1987,"Drama, Fantasy, Romance",52343,1987-05-17,Wim Wenders
23,tt0283509,2015-06-14,2015-06-14,,No Man's Land,http://www.imdb.com/title/tt0283509/,movie,8.0,98,2001,"Drama, War",40002,2001-05-12,Danis Tanovic
24,tt0047445,2015-06-14,2015-06-14,,Sanshô dayû,http://www.imdb.com/title/tt0047445/,movie,8.4,124,1954,Drama,11386,1954-03-31,Kenji Mizoguchi
25,tt0119038,2015-06-14,2015-06-14,,Le dîner de cons,http://www.imdb.com/title/tt0119038/,movie,7.7,80,1998,Comedy,32174,1998-04-15,Francis Veber
26,tt0369702,2015-06-14,2015-06-14,,Mar adentro,http://www.imdb.com/title/tt0369702/,movie,8.0,125,2004,"Biography, Drama, Romance",69150,2004-09-02,Alejandro Amenábar
27,tt1069238,2015-06-14,2015-06-14,,Okuribito,http://www.imdb.com/title/tt1069238/,movie,8.1,130,2008,"Drama, Music",41879,2008-08-23,Yôjirô Takita
28,tt2278871,2015-06-14,2015-06-14,,La vie d'Adèle,http://www.imdb.com/title/tt2278871/,movie,7.8,180,2013,"Drama, Romance",109724,2013-05-23,Abdellatif Kechiche
29,tt0058279,2015-06-14,2015-06-14,,Kaidan,http://www.imdb.com/title/tt0058279/,movie,8.0,183,1964,"Drama, Fantasy, Horror",11474,1964-12-29,Masaki Kobayashi
30,tt0386741,2015-06-14,2015-06-14,,Renaissance,http://www.imdb.com/title/tt0386741/,movie,6.7,105,2006,"Animation, Action, Sci-Fi, Thriller",14780,2006-03-15,Christian Volckman
31,tt0291350,2015-06-14,2015-06-14,,Sennen joyû,http://www.imdb.com/title/tt0291350/,movie,7.9,87,2001,"Animation, Drama, Fantasy, Romance",17297,2001-07-28,Satoshi Kon
32,tt0110882,2015-06-14,2015-06-14,,Before the Rain,http://www.imdb.com/title/tt0110882/,movie,8.1,113,1994,"Drama, War",12130,1994-09-01,Milcho Manchevski
33,tt0050976,2015-06-14,2015-06-14,,Det sjunde inseglet,http://www.imdb.com/title/tt0050976/,movie,8.2,96,1957,"Drama, Fantasy",126088,1957-02-16,Ingmar Bergman
34,tt0166924,2015-06-14,2015-06-14,,Mulholland Dr.,http://www.imdb.com/title/tt0166924/,movie,8.0,147,2001,"Drama, Mystery, Thriller",267905,2001-05-16,David Lynch
35,tt1821549,2015-06-14,2015-06-14,,Nebraska,http://www.imdb.com/title/tt1821549/,movie,7.7,115,2013,"Adventure, Comedy, Drama",99028,2013-05-23,Alexander Payne
36,tt0070666,2015-06-14,2015-06-14,,Serpico,http://www.imdb.com/title/tt0070666/,movie,7.8,130,1973,"Biography, Crime, Drama, Thriller",88694,1973-12-05,Sidney Lumet
37,tt0050613,2015-06-14,2015-06-14,,Kumonosu-jô,http://www.imdb.com/title/tt0050613/,movie,8.1,110,1957,Drama,35736,1957-01-15,Akira Kurosawa
38,tt0948544,2015-06-14,2015-06-14,,DeUsynlige,http://www.imdb.com/title/tt0948544/,movie,7.6,115,2008,"Drama, Music",5120,2008-09-26,Erik Poppe
39,tt1483831,2015-06-14,2015-06-14,,Lebanon,http://www.imdb.com/title/tt1483831/,movie,6.9,93,2009,"Drama, War",10023,2009-09-08,Samuel Maoz
40,tt0089881,2015-06-14,2015-06-14,,Ran,http://www.imdb.com/title/tt0089881/,movie,8.2,162,1985,"Action, Drama",87105,1985-05-25,Akira Kurosawa
41,tt0497137,2015-06-14,2015-06-14,,Ssa-i-bo-geu-ji-man-gwen-chan-a,http://www.imdb.com/title/tt0497137/,movie,7.1,105,2006,"Comedy, Drama, Romance",19902,2006-12-07,Chan-wook Park
42,tt0048473,2015-06-14,2015-06-14,,Pather Panchali,http://www.imdb.com/title/tt0048473/,movie,8.4,125,1955,Drama,16510,1955-08-26,Satyajit Ray
43,tt0051808,2015-06-14,2015-06-14,,Kakushi-toride no san-akunin,http://www.imdb.com/title/tt0051808/,movie,8.1,139,1958,"Adventure, Drama",26716,1958-12-28,Akira Kurosawa
44,tt0058888,2015-06-14,2015-06-14,,Akahige,http://www.imdb.com/title/tt0058888/,movie,8.3,185,1965,Drama,12686,1965-04-03,Akira Kurosawa
45,tt0072271,2015-06-14,2015-06-14,,The Texas Chain Saw Massacre,http://www.imdb.com/title/tt0072271/,movie,7.5,83,1974,Horror,109770,1974-10-01,Tobe Hooper
46,tt0118843,2015-06-14,2015-06-14,,"Crna macka, beli macor",http://www.imdb.com/title/tt0118843/,movie,8.1,127,1998,"Comedy, Crime, Romance",44176,1998-06-01,Emir Kusturica
47,tt1204340,2015-06-14,2015-06-14,,Tyrannosaur,http://www.imdb.com/title/tt1204340/,movie,7.6,92,2011,Drama,26395,2011-01-21,Paddy Considine
48,tt1847746,2015-06-14,2015-06-14,,Wakolda,http://www.imdb.com/title/tt1847746/,movie,6.8,93,2013,"Drama, History, Thriller",4929,2013-05-21,Lucía Puenzo
49,tt0318725,2015-06-14,2015-06-14,,Stupeur et tremblements,http://www.imdb.com/title/tt0318725/,movie,7.1,107,2003,"Comedy, Drama",3804,2003-03-12,Alain Corneau
50,tt0395169,2015-06-14,2015-06-14,,Hotel Rwanda,http://www.imdb.com/title/tt0395169/,movie,8.1,121,2004,"Biography, Drama, History, War",290192,2004-09-11,Terry George
51,tt0074811,2015-06-14,2015-06-14,,Le locataire,http://www.imdb.com/title/tt0074811/,movie,7.8,126,1976,"Drama, Thriller",30982,1976-05-24,Roman Polanski
52,tt0119167,2015-06-14,2015-06-14,,Funny Games,http://www.imdb.com/title/tt0119167/,movie,7.6,108,1997,"Crime, Drama, Thriller",50260,1997-05-14,Michael Haneke
53,tt2358592,2015-06-14,2015-06-14,,Lucia,http://www.imdb.com/title/tt2358592/,movie,8.4,135,2013,"Drama, Romance, Sci-Fi, Thriller",9535,2013-07-20,Pawan Kumar
54,tt3355014,2015-06-14,2015-06-14,,The Zohar Secret,http://www.imdb.com/title/tt3355014/,movie,6.8,124,2016,"Comedy, Drama, Sci-Fi",2318,2016-02-05,Vladek Zankovsky
55,tt3237826,2015-06-14,2015-06-14,,Medusa,http://www.imdb.com/title/tt3237826/,movie,6.8,109,2015,"Horror, Sci-Fi, Thriller",78,2015-10-02,Jorge Ameer
56,tt0887912,2015-06-14,2015-06-14,,The Hurt Locker,http://www.imdb.com/title/tt0887912/,movie,7.6,131,2008,"Drama, History, Thriller, War",364026,2008-09-04,Kathryn Bigelow
57,tt1655442,2015-06-14,2015-06-14,,The Artist,http://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",204966,2011-05-15,Michel Hazanavicius
58,tt0072730,2015-06-14,2015-06-14,,A Boy and His Dog,http://www.imdb.com/title/tt0072730/,movie,6.6,91,1975,"Comedy, Drama, Sci-Fi, Thriller",14032,1975-03-01,L.Q. Jones
59,tt0245712,2015-06-14,2015-06-14,,Amores perros,http://www.imdb.com/title/tt0245712/,movie,8.1,154,2000,"Drama, Thriller",190454,2000-05-14,Alejandro G. Iñárritu
60,tt2645188,2015-06-14,2015-06-14,,The Quiet Hour,http://www.imdb.com/title/tt2645188/,movie,4.7,85,2014,"Drama, Sci-Fi, Thriller",805,2014-07-12,Stéphanie Joalland
61,tt3528756,2015-06-14,2015-06-14,,El incidente,http://www.imdb.com/title/tt3528756/,movie,6.4,100,2014,"Sci-Fi, Thriller",1310,2014-05-17,Isaac Ezban
62,tt1613750,2015-06-15,2015-06-15,,Kon-Tiki,http://www.imdb.com/title/tt1613750/,movie,7.2,118,2012,"Adventure, History",38525,2012-08-18,"Espen Sandberg, Joachim Rønning"
63,tt0120265,2015-06-15,2015-06-15,,Ta'm e guilass,http://www.imdb.com/title/tt0120265/,movie,7.7,95,1997,Drama,16947,1997-05-16,Abbas Kiarostami
64,tt0971162,2015-06-15,2015-06-15,,Cú và chim se se,http://www.imdb.com/title/tt0971162/,movie,7.5,97,2007,Drama,827,2007-02-01,Stephane Gauger
65,tt2392447,2015-06-15,2015-06-15,,Ungli,http://www.imdb.com/title/tt2392447/,movie,5.8,114,2014,"Crime, Drama, Thriller",2902,2014-11-27,Renzil D'Silva
66,tt0059578,2015-06-20,2015-06-20,,Per qualche dollaro in più,http://www.imdb.com/title/tt0059578/,movie,8.3,132,1965,Western,180294,1965-12-18,Sergio Leone
67,tt3551042,2015-06-20,2015-06-20,,Magi,http://www.imdb.com/title/tt3551042/,movie,6.0,132,2016,Horror,1571,2016-04-29,Hasan Karacadag
68,tt3036548,2015-06-20,2015-06-20,,Reminiscence,http://www.imdb.com/title/tt3036548/,movie,5.5,100,2014,"Horror, Romance, Thriller",1255,2014-06-01,Akçay Karaazmak
69,tt0454457,2015-06-20,2015-06-20,,Frostbiten,http://www.imdb.com/title/tt0454457/,movie,5.5,98,2006,"Horror, Comedy",3659,2006-02-24,Anders Banke
70,tt0403358,2015-06-20,2015-06-20,,Nochnoy dozor,http://www.imdb.com/title/tt0403358/,movie,6.5,114,2004,"Action, Fantasy, Thriller",49089,2004-06-27,Timur Bekmambetov
71,tt1588895,2015-06-20,2015-06-20,,Loong Boonmee raleuk chat,http://www.imdb.com/title/tt1588895/,movie,6.6,114,2010,"Comedy, Drama, Fantasy",10518,2010-05-21,Apichatpong Weerasethakul
72,tt2486682,2015-06-20,2015-06-20,,Al midan,http://www.imdb.com/title/tt2486682/,movie,8.1,108,2013,"Documentary, Drama, History, News",7480,2013-01-18,Jehane Noujaim
73,tt0080979,2015-06-20,2015-06-20,,Kagemusha,http://www.imdb.com/title/tt0080979/,movie,8.0,180,1980,"Drama, History, War",26051,1980-04-26,Akira Kurosawa
74,tt0245574,2015-06-20,2015-06-20,,Y tu mamá también,http://www.imdb.com/title/tt0245574/,movie,7.7,106,2001,"Adventure, Comedy, Drama, Romance",98680,2001-06-08,Alfonso Cuarón
75,tt0065571,2015-06-20,2015-06-20,,Il conformista,http://www.imdb.com/title/tt0065571/,movie,8.1,113,1970,Drama,20474,1970-07-01,Bernardo Bertolucci
76,tt2274570,2015-06-20,2015-06-20,,Bad Milo!,http://www.imdb.com/title/tt2274570/,movie,5.7,85,2013,"Comedy, Horror",5981,2013-03-10,Jacob Vaughan
77,tt0830581,2015-06-20,2015-06-20,,Koara kachô,http://www.imdb.com/title/tt0830581/,movie,6.0,85,2005,"Comedy, Crime, Drama, Horror, Mystery, Thriller",526,2005-10-28,Minoru Kawasaki
78,tt0351817,2015-06-20,2015-06-20,,Tasogare Seibei,http://www.imdb.com/title/tt0351817/,movie,8.1,129,2002,"Drama, History",19335,2002-11-02,Yôji Yamada
79,tt1386925,2015-06-20,2015-06-20,,The Dead,http://www.imdb.com/title/tt1386925/,movie,5.8,105,2010,Horror,8036,2010-08-30,"Jonathan Ford, Howard J. Ford"
80,tt0387131,2015-06-20,2015-06-20,,The Constant Gardener,http://www.imdb.com/title/tt0387131/,movie,7.5,129,2005,"Drama, Mystery, Romance, Thriller",118795,2005-07-31,Fernando Meirelles
81,tt2375559,2015-06-20,2015-06-20,,1 - Nenokkadine,http://www.imdb.com/title/tt2375559/,movie,8.4,170,2014,"Action, Musical, Mystery, Thriller",38281,2014-01-10,Sukumar
82,tt2980794,2015-06-20,2015-06-20,,Highway,http://www.imdb.com/title/tt2980794/,movie,7.6,133,2014,"Adventure, Drama, Romance",20616,2014-02-13,Imtiaz Ali
83,tt3175038,2015-06-20,2015-06-20,,Ek Villain,http://www.imdb.com/title/tt3175038/,movie,6.4,129,2014,"Action, Crime, Drama, Romance, Thriller",13210,2014-06-27,Mohit Suri
84,tt1128075,2015-06-20,2015-06-20,,Ai no mukidashi,http://www.imdb.com/title/tt1128075/,movie,8.1,237,2008,"Action, Comedy, Drama, Romance",8768,2008-11-29,Sion Sono
85,tt0120889,2015-06-20,2015-06-20,,What Dreams May Come,http://www.imdb.com/title/tt0120889/,movie,7.0,113,1998,"Drama, Fantasy, Romance",89652,1998-09-28,Vincent Ward
86,tt1770650,2015-06-20,2015-06-20,,BKO: Bangkok Knockout,http://www.imdb.com/title/tt1770650/,movie,5.5,106,2010,Action,1324,2010-12-16,Panna Rittikrai
87,tt2344678,2015-06-20,2015-06-20,,Himmatwala,http://www.imdb.com/title/tt2344678/,movie,1.7,150,2013,Action,6791,2013-03-28,Sajid Khan
88,tt0120731,2015-06-20,2015-06-20,,La leggenda del pianista sull'oceano,http://www.imdb.com/title/tt0120731/,movie,8.1,165,1998,"Drama, Music, Romance",45861,1998-10-28,Giuseppe Tornatore
89,tt0113247,2015-06-20,2015-06-20,,La haine,http://www.imdb.com/title/tt0113247/,movie,8.1,98,1995,"Crime, Drama",117613,1995-05-27,Mathieu Kassovitz
90,tt0914798,2015-06-20,2015-06-20,,The Boy in the Striped Pyjamas,http://www.imdb.com/title/tt0914798/,movie,7.8,94,2008,"Drama, War",152409,2008-08-28,Mark Herman
91,tt0844708,2015-06-20,2015-06-20,,The Last House on the Left,http://www.imdb.com/title/tt0844708/,movie,6.6,110,2009,"Horror, Thriller",73986,2009-03-13,Dennis Iliadis
92,tt2084989,2015-06-20,2015-06-20,,Upstream Color,http://www.imdb.com/title/tt2084989/,movie,6.7,96,2013,"Drama, Sci-Fi",26247,2013-01-21,Shane Carruth
93,tt0441641,2015-06-21,2015-06-21,,Janji Joni,http://www.imdb.com/title/tt0441641/,movie,7.6,83,2005,"Adventure, Comedy, Romance",1012,2005-04-27,Joko Anwar
94,tt3524530,2015-06-21,2015-06-21,,Comic 8,http://www.imdb.com/title/tt3524530/,movie,7.2,,2014,Comedy,729,2014-01-29,Anggy Umbara
95,tt0069214,2015-06-21,2015-06-21,,Sambizanga,http://www.imdb.com/title/tt0069214/,movie,7.0,102,1972,Drama,109,1972-01-01,Sarah Maldoror
96,tt0104467,2015-06-21,2015-06-21,,Hyènes,http://www.imdb.com/title/tt0104467/,movie,7.5,110,1992,"Comedy, Drama",586,1992-09-18,Djibril Diop Mambéty
97,tt0104373,2015-06-21,2015-06-21,,Guelwaar,http://www.imdb.com/title/tt0104373/,movie,7.3,115,1992,Drama,232,1992-09-02,Ousmane Sembene
98,tt0110252,2015-06-21,2015-06-21,,Keita! L'héritage du griot,http://www.imdb.com/title/tt0110252/,movie,6.5,94,1996,"Drama, Fantasy",118,1996-04-12,Dani Kouyaté
99,tt0119396,2015-06-21,2015-06-21,,Jackie Brown,http://www.imdb.com/title/tt0119396/,movie,7.5,154,1997,"Crime, Drama, Thriller",261235,1997-12-08,Quentin Tarantino
100,tt1305806,2015-06-21,2015-06-21,,El secreto de sus ojos,http://www.imdb.com/title/tt1305806/,movie,8.2,129,2009,"Drama, Mystery, Romance, Thriller",152774,2009-08-13,Juan José Campanella
101,tt0022100,2015-06-21,2015-06-21,,M,http://www.imdb.com/title/tt0022100/,movie,8.4,117,1931,"Crime, Drama, Mystery, Thriller",112013,1931-05-11,Fritz Lang
102,tt2708550,2015-06-22,2015-06-22,,Jal,http://www.imdb.com/title/tt2708550/,movie,6.7,126,2013,Drama,383,2013-10-06,Girish Malik
103,tt0056443,2015-06-27,2015-06-27,,Tsubaki Sanjûrô,http://www.imdb.com/title/tt0056443/,movie,8.2,96,1962,"Action, Crime, Drama, Thriller",23047,1962-01-01,Akira Kurosawa
104,tt2678366,2015-06-27,2015-06-27,,Hit the Road: India,http://www.imdb.com/title/tt2678366/,movie,6.7,80,2013,"Documentary, Sport",100,2013-07-12,"Mushegh Baghdasaryan, Gor Baghdasaryan"
105,tt1104836,2015-06-27,2015-06-27,,Feast III: The Happy Finish,http://www.imdb.com/title/tt1104836/,video,5.0,80,2009,"Action, Comedy, Horror, Thriller",4651,2009-02-17,John Gulager
106,tt1784575,2015-06-28,2015-06-28,,Parada,http://www.imdb.com/title/tt1784575/,movie,7.3,115,2011,"Comedy, Drama",10057,2011-10-31,Srdjan Dragojevic
107,tt1292575,2015-06-28,2015-06-28,,See prang,http://www.imdb.com/title/tt1292575/,movie,6.7,120,2008,"Drama, Horror, Mystery, Thriller",2384,2008-04-25,"Paween Purikitpanya, Yongyoot Thongkongtoon, Banjong Pisanthanakun, Parkpoom Wongpoom"
108,tt2267998,2015-06-29,2015-06-29,,Gone Girl,http://www.imdb.com/title/tt2267998/,movie,8.1,149,2014,"Crime, Drama, Mystery, Thriller",675286,2014-09-26,David Fincher
109,tt0154420,2015-06-29,2015-06-29,,Festen,http://www.imdb.com/title/tt0154420/,movie,8.1,105,1998,Drama,70032,1998-05-01,Thomas Vinterberg
110,tt0205873,2015-06-30,2015-06-30,,The Dish,http://www.imdb.com/title/tt0205873/,movie,7.2,101,2000,"Comedy, Drama, History",13548,2000-09-15,Rob Sitch
111,tt0366780,2015-06-30,2015-06-30,,Mirrormask,http://www.imdb.com/title/tt0366780/,movie,6.9,101,2005,"Adventure, Fantasy",21067,2005-01-25,Dave McKean
112,tt0929632,2015-07-01,2015-07-01,,Precious,http://www.imdb.com/title/tt0929632/,movie,7.3,110,2009,Drama,94510,2009-01-16,Lee Daniels
113,tt0295682,2015-07-01,2015-07-01,,The Warrior,http://www.imdb.com/title/tt0295682/,movie,6.8,86,2001,"Adventure, Drama",2255,2001-09-23,Asif Kapadia
114,tt0338564,2015-07-01,2015-07-01,,Mou gaan dou,http://www.imdb.com/title/tt0338564/,movie,8.1,101,2002,"Crime, Drama, Mystery, Thriller",101909,2002-12-12,"Alan Mak, Wai-Keung Lau"
115,tt1509276,2015-07-04,2015-07-04,,The Wildest Dream,http://www.imdb.com/title/tt1509276/,movie,7.3,94,2010,"Documentary, Adventure, Biography",1967,2010-01-09,Anthony Geffen
116,tt0090851,2015-07-04,2015-07-04,,The Climb,http://www.imdb.com/title/tt0090851/,movie,7.5,90,1986,Adventure,64,1986-07-14,Donald Shebib
117,tt3720788,2015-07-04,2015-07-04,,The Disappearance of Eleanor Rigby: Her,http://www.imdb.com/title/tt3720788/,movie,7.0,100,2013,Drama,6961,2013-09-09,Ned Benson
118,tt3729920,2015-07-04,2015-07-04,,The Disappearance of Eleanor Rigby: Them,http://www.imdb.com/title/tt3729920/,movie,6.3,123,2014,"Drama, Romance",9778,2014-05-17,Ned Benson
119,tt1531924,2015-07-04,2015-07-04,,The Disappearance of Eleanor Rigby: Him,http://www.imdb.com/title/tt1531924/,movie,6.9,89,2013,"Drama, Romance",7644,2013-09-09,Ned Benson
120,tt4158110,2015-07-04,2015-07-04,,Mr. Robot,http://www.imdb.com/title/tt4158110/,tvSeries,8.6,49,2015,"Crime, Drama, Thriller",244002,2015-03-17,
121,tt0062794,2015-07-05,2015-07-05,,Charly,http://www.imdb.com/title/tt0062794/,movie,7.1,103,1968,"Drama, Romance, Sci-Fi",5361,1968-06-01,Ralph Nelson
122,tt0984155,2015-07-06,2015-07-06,,Tres días,http://www.imdb.com/title/tt0984155/,movie,6.1,93,2008,"Crime, Drama, Sci-Fi, Thriller",1881,2008-02-10,F. Javier Gutiérrez
123,tt0089851,2015-07-11,2015-07-11,,Pulgasari,http://www.imdb.com/title/tt0089851/,movie,5.2,95,1985,"Action, Drama, Fantasy",682,1998-07-04,Sang-ok Shin
124,tt1149362,2015-07-11,2015-07-11,,Das weiße Band - Eine deutsche Kindergeschichte,http://www.imdb.com/title/tt1149362/,movie,7.8,144,2009,"Drama, History, Mystery, Thriller",58551,2009-05-21,Michael Haneke
125,tt0053318,2015-07-12,2015-07-12,,"Suddenly, Last Summer",http://www.imdb.com/title/tt0053318/,movie,7.6,114,1959,"Drama, Mystery, Thriller",11442,1959-12-22,Joseph L. Mankiewicz
126,tt0043014,2015-07-13,2015-07-13,,Sunset Blvd.,http://www.imdb.com/title/tt0043014/,movie,8.5,110,1950,"Drama, Film-Noir",157852,1950-08-10,Billy Wilder
